COUNT  CLUSTER-ID             CLUSTER-SIZE  |MACHINE-EVAL           |MACHINE-MIN-EVAL       |MACHINE-AVG-EVAL       |MACHINE-ALL-EVAL       |HUMAN-EVAL  |HAS-CYCLE   NOT GOOD  CYCLE  |COMMENT                |RESOURCES              
6      N8161466915288885478   2             |-BAD [0.667]-          |-BAD [0.606]-          |-BAD [0.606]-          |-BAD [0.637]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24740930p1                     | Baptism002                          | Gilles, Anna                        |                                     | Barentsz, Hans                      | Gilles, Anna                        |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1607-09-02
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |27664                               | Ecartico                            | Gillis, Anna                        | 1600-08-26                          | Briever, Michiel Hendricksz [de]    | Gillis, Anna                        |                                     |                                     |                                     |                                     |                                     |                                     | 1580-01-01                          |

7      N3885378190612760064   2             |-BAD [0.667]-          |-BAD [0.623]-          |-BAD [0.623]-          |-BAD [0.643]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |2282                                | Ecartico                            | Cuyper, Hendrick [de]               | 1632-07-25                          | Cuyper, Hendrick [de]               | Sennepart, Sara                     |                                     |                                     |                                     |                                     |                                     | 1634-01-01                          | 1599-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26333970p1                     | Marriage003                         | Culper, Hendrick                    | 1648-04-18                          | Culper, Hendrick                    | Pieters, Magdalene                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

8      N7889161396023657118   4             |-BAD [0.777]-          |-BAD [0.666]-          |-BAD [0.687]-          |-BAD [0.71]-           |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |1152                                | Ecartico                            | Bont, Jan [de]                      | 1641-02-09                          | Bont, Jan [de]                      | Sompeecken, Geertruyt Augustijnsdr. [van] |                                     |                                     |                                     |                                     |                                     | 1653-05-02                          |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |3812                                | Ecartico                            | Hondt, Jan [de]                     | 1642-02-25                          | Hondt, Jan [de]                     | Verhuijck, Joanna                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |3812                                | Ecartico                            | Hondt, Jan [de]                     | 1642-02-25                          | Hondt, Jan [de]                     | Passant, Catharina                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
