COUNT  CLUSTER-ID             CLUSTER-SIZE  |MACHINE-EVAL           |MACHINE-MIN-EVAL       |MACHINE-AVG-EVAL       |MACHINE-ALL-EVAL       |HUMAN-EVAL  |HAS-CYCLE   NOT GOOD  CYCLE  |COMMENT                |RESOURCES              
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26323106p1                     | Marriage003                         | Beckman, Hendrik                    | 1627-07-10                          | Beeckman, Hendrik                   |                                     |                                     | Jans, Griet                         |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26323106p1                     | Marriage003                         | Beckman, Hendrik                    | 1627-07-10                          | Beckman, Hendrik                    |                                     |                                     | Jans, Griet                         |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26323106p1                     | Marriage003                         | Beeckman, Hendrik                   | 1627-07-10                          | Beeckman, Hendrik                   |                                     |                                     | Jans, Griet                         |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26323106p1                     | Marriage003                         | Beeckman, Hendrik                   | 1627-07-10                          | Beckman, Hendrik                    |                                     |                                     | Jans, Griet                         |                                     |                                     |                                     |                                     |                                     |

59     N3461397457205618996   2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-G-         |no         -OK-              |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |16859                               | Ecartico                            | Jacomijntje Reijniers               | 1614-01-01                          | Bont, Jan Pieters                   | Jacomijntje Reijniers               |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26384238p4                     | Marriage003                         | Reijniers, Jacomijntje              | 1614-08-16                          | Pietersz, Jan                       |                                     |                                     | Reijniers, Jacomijntje              |                                     |                                     |                                     |                                     |                                     |

60     N8705440579381392181   6             |-BAD [0.658]-          |-BAD [0.611]-          |-BAD [0.634]-          |-BAD [0.646]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId24704958p2                     | Baptism002                          | Gerritsz, Claes                     |                                     | Gerritsz, Claes                     | Jans, Baertien                      |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1604-08-01
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |26535                               | Ecartico                            | Claes Gerritsz                      | 1628-05-20                          | Claes Gerritsz                      | Dorothea Luijters                   |                                     |                                     |                                     |                                     |                                     |                                     | 1606-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26318494p3                     | Marriage003                         | Gerritsz, Claas                     | 1623-04-01                          |                                     | Jans, Susanna                       | Gerritsz, Claas                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26342602p1                     | Marriage003                         | Gerritsz, Claes                     | 1603-09-13                          | Gerritsz, Claes                     | Jans, Bartje                        |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26342679p1                     | Marriage003                         | Gerritss, Claes                     | 1645-02-18                          | Gerritss, Claes                     | Jacobs, Grietje                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26396704p3                     | Marriage003                         | Gerritsz, Claas                     | 1641-08-03                          |                                     | Jans, Magdalena                     | Gerritsz, Claas                     |                                     |                                     |                                     |                                     |                                     |                                     |

61     N8018611589341964673   2             |-BAD [0.667]-          |-BAD [0.611]-          |-BAD [0.611]-          |-BAD [0.64]-           |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24426140p1                     | Baptism002                          | Claes, Lisbet                       |                                     | Jacobsz, Jacob                      | Claes, Lisbet                       |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1602-07-11
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |11129                               | Ecartico                            | Elisabeth Niclaes                   | 1600-01-11                          | Nolpe, Engelbert                    | Elisabeth Niclaes                   |                                     |                                     |                                     |                                     |                                     | 1637-01-01                          |                                     |

62     N6482721110103056839   2             |-BAD [0.667]-          |-BAD [0.619]-          |-BAD [0.619]-          |-BAD [0.643]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24373587p1                     | Baptism002                          | Lenerts, Marie                      |                                     | Tonijs, Jan                         | Lenerts, Marie                      |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1601-11-30
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |22763                               | Ecartico                            | Marie Lenaerts                      | 1644-03-05                          |                                     | Marie Lenaerts                      |                                     |                                     |                                     |                                     |                                     | 1661-01-01                          |                                     |

63     N8998938027664220369   2             |-BAD [0.667]-          |-BAD [0.625]-          |-BAD [0.625]-          |-BAD [0.646]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24251163p1                     | Baptism002                          | Willems, Grietge                    |                                     | Jansz, Henrick                      | Willems, Grietge                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1603-04-29
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |10855                               | Ecartico                            | Grietgen Willems                    | 1615-06-20                          | Hove, Matheus [van]                 | Grietgen Willems                    |                                     |                                     |                                     |                                     |                                     | 1620-01-01                          |                                     |

64     N8529769147376968912   2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |27996                               | Ecartico                            | Mulder, Anna                        | 1608-06-21                          | Tol, Jacques [van]                  | Mulder, Anna                        |                                     |                                     |                                     |                                     |                                     | 1622-01-01                          | 1586-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26396384p2                     | Marriage003                         | Mulders, Annetje                    | 1608-06-21                          | Tol, Jaques [van]                   | Mulders, Annetje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26396384p2                     | Marriage003                         | Mulders, Annetje                    | 1608-06-21                          | Tol, Jaques [van]                   | Mulder, Anna                        |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26396384p2                     | Marriage003                         | Mulder, Anna                        | 1608-06-21                          | Tol, Jaques [van]                   | Mulders, Annetje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26396384p2                     | Marriage003                         | Mulder, Anna                        | 1608-06-21                          | Tol, Jaques [van]                   | Mulder, Anna                        |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

65     N5343492988909032383   2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |15329                               | Ecartico                            | Steps, Abraham                      | 1634-04-11                          | Steps, Abraham                      | Salder, Margrete                    |                                     |                                     |                                     |                                     |                                     | 1636-10-30                          | 1604-05-06                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26544935p1                     | Marriage003                         | Steps, Abraham                      | 1634-04-11                          | Steps, Abraham                      | Salder, Margreta                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

66     P4109091232626677332   2             |-BAD [0.667]-          |-BAD [0.623]-          |-BAD [0.623]-          |-BAD [0.643]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24600036p1                     | Baptism002                          | Jans, Ariaentien                    |                                     | Jansz, Claes                        | Jans, Ariaentien                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1633-08-21
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |15741                               | Ecartico                            | Ariaentgen Jans                     | 1628-06-24                          | Assendelft, Alewijn Claesz. [van]   | Ariaentgen Jans                     |                                     |                                     |                                     |                                     |                                     | 1656-01-01                          |                                     |

67     N8390845712703238144   4             |-BAD [0.595]-          |-BAD [0.521]-          |-BAD [0.549]-          |-BAD [0.549]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |9925                                | Ecartico                            | Trijntje Simons                     | 1602-03-02                          |                                     | Trijntje Simons                     |                                     |                                     |                                     |                                     |                                     |                                     | 1672-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26333280p2                     | Marriage003                         | Sijmons, Trijntje                   | 1633-01-29                          | Corneliss, Pieter                   | Sijmons, Trijntje                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26371703p3                     | Marriage003                         | Sijmons, Lijntje                    | 1614-05-31                          | Kornelisz, Cornelis                 |                                     |                                     | Sijmons, Lijntje                    |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26545620p2                     | Marriage003                         | Sijmons, Lijntje                    | 1636-09-25                          |                                     | Sijmons, Lijntje                    | Pieterss, Jan                       |                                     |                                     |                                     |                                     |                                     |                                     |

68     N6584657380015436567   11            |-GOOD [1.0]-           |-GOOD [0.938]-         |-GOOD [0.973]-         |-GOOD [0.977]-         |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |16889                               | Ecartico                            | Lijsbet Gerrits                     | 1638-05-15                          | Jan Sijbrantse                      | Lijsbet Gerrits                     |                                     |                                     |                                     |                                     |                                     |                                     | 1614-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26331113p4                     | Marriage003                         | Gerrits, Lijsbet                    | 1628-04-28                          | Corneliss, Cornelis                 |                                     |                                     | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26332131p4                     | Marriage003                         | Gerrits, Lijsbet                    | 1647-01-12                          | Cornelisz, Jan                      |                                     |                                     | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26346908p2                     | Marriage003                         | Gerrits, Lijsbet                    | 1627-04-03                          |                                     | Gerrits, Lijsbet                    | Jansz, Jacob                        |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26349067p2                     | Marriage003                         | Gerrits, Lijsbeth                   | 1614-08-09                          | Harmensz, Jacob                     | Gerrits, Lijsbeth                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26349067p2                     | Marriage003                         | Gerrits, Lijsbeth                   | 1614-08-09                          | Hoppezak, Jacob Harmens             | Gerrits, Lijsbeth                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26349944p2                     | Marriage003                         | Gerrits, Lijsbeth                   | 1616-05-21                          |                                     | Gerrits, Lijsbeth                   | Andriesz, Jan                       |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26359404p2                     | Marriage003                         | Gerrits, Lijsbet                    | 1638-04-09                          | Janss, Claes                        | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26365031p4                     | Marriage003                         | Gerrits, Lijsbet                    | 1638-09-25                          | Jansz, Jan                          | Peters, Annetje                     |                                     | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26365031p4                     | Marriage003                         | Gerrits, Lijsbet                    | 1638-09-25                          | Jansz, Jan                          | Pieters, Annetje                    |                                     | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26365031p4                     | Marriage003                         | Gerrits, Lijsbet                    | 1638-09-25                          | Wesell, Jan Jansz [van]             | Peters, Annetje                     |                                     | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26365031p4                     | Marriage003                         | Gerrits, Lijsbet                    | 1638-09-25                          | Wesell, Jan Jansz [van]             | Pieters, Annetje                    |                                     | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26383832p2                     | Marriage003                         | Gerrits, Lijsbet                    | 1600-04-22                          | Pietersz, Jan                       | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26387660p2                     | Marriage003                         | Gerrits, Lijsbet                    | 1602-01-19                          | Riemer, Pauwels Pauwels [de]        | Gerrits, Lijsbet                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26543038p2                     | Marriage003                         | Gerrits, Lijsbeth                   | 1607-07-14                          |                                     | Gerrits, Lijsbeth                   | Albertsz, Cornelis                  |                                     |                                     |                                     |                                     |                                     |                                     |

69     P967605168120390544    2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |21075                               | Ecartico                            | Mathijs Lourens                     | 1646-01-01                          | Mathijs Lourens                     |                                     |                                     |                                     |                                     |                                     |                                     | 1646-01-01                          |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26376749p1                     | Marriage003                         | Mathijs, Lourens                    | 1623-12-16                          | Mathijs, Lourens                    | Jans, Trijntje                      |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

70     P3965741060332861572   2             |-BAD [0.667]-          |-BAD [0.625]-          |-BAD [0.625]-          |-BAD [0.646]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24379560p2                     | Baptism002                          | Klerck, Hans [de]                   |                                     | Klerck, Hans [de]                   | Jans, Anne                          |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1619-09-26
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |9187                                | Ecartico                            | Klerk, Hans [de]                    | 1613-09-21                          | Klerk, Hans [de]                    | Lefeber, Anna                       |                                     |                                     |                                     |                                     |                                     |                                     | 1584-01-01                          |

71     N8668093191829640619   3             |-GOOD [1.0]-           |-GOOD [0.929]-         |-GOOD [0.952]-         |-GOOD [0.96]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |10660                               | Ecartico                            | Aeltje Harmens                      | 1624-05-04                          | Aldewerelt, Anthonis [van]          | Aeltje Harmens                      |                                     |                                     |                                     |                                     |                                     |                                     | 1596-01-01                          |
